module,page_id,type,title,description
10,5,video,"<FALTA CONTEUDO> Audiovisual sobre o lukumí, língua de base iorubá utilizada como língua ritual em Cuba.",
10,6,video,"<FALTA CONTEUDO> Dorival Caymmi e Carmen Miranda cantam ""A preta do acarajé"". Foto de Carmen na tela.",
11,1,video,Imigração italiana / Nora Ronai,
11,2,video,Imigração polonesa / Tomasz Lychowski,
11,3,video,Imigração árabe / Kamal Kalaoun,
11,4,video,Imigração alemã / Barbara Hepp,
11,5,video,Imigração japonesa / Sachimi e Hiroshi Higuchi,
11,6,video,"“Sodades de Zan Paolo”, de Juó Bananére / Denise Fraga",
11,7,video,As imigrações / Boris Fausto,
12,1,video,A Semana de Arte Moderna de 1922 / Moacir dos Anjos,
12,2,video,"“Cantoras do Rádio”, de Alberto Ribeiro, João de Barro e Lamartine Babo / Carmem e Aurora Miranda",
12,3,video,"“Luar do Sertão”, de Luiz Gonzaga, Sivuca e Oswaldinho",
12,4,video,Lampião e seu bando / Benjamin Abrahão,
12,5,video,"“Brasília segundo Feldman” (1979), de Eugene Feldman",
12,6,video,A língua e a música entre 1940 e 1960 / José Miguel Wisnik,
12,7,video,A língua o rádio entre 1940 e 1960 / José Miguel Wisnik,
13,1,video,"<FALTA CONTEUDO> “Pra não dizer que não falei das flores (Caminhando)”, de Geraldo Vandré",
13,2,video,"<FALTA CONTEUDO> “Alegria, alegria”, de Caetano Veloso",
13,3,video,"“Construção”, de Chico Buarque",
13,4,video,"“Metamorfose ambulante”, de Raul Seixas",
13,5,video,Músicas de Odair José,
13,6,video,"“Sandra Rosa Madalena”, de Sidney Magal",
13,7,video,"“Que país é este?”, de Legião Urbana",
13,8,imagens,Música para todos os gostos,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
14,1,video,A língua nas redes / Francisco Bosco,
14,2,video,A língua viva / Djamila Ribeiro,
14,3,video,Os povos indígenas no século XXI / Manuela Carneiro da Cunha,
14,4,video,Palavra em trânsito / Arnaldo Antunes,
14,5,video,"Eutro, escultura de Arnaldo Antunes",
14,6,video,O borogodó do borogodó / Valter Hugo Mãe,
14,7,video,"“As caravanas”, de Chico Buarque",
14,8,video,"Clipe de ""Negro Drama"" dos Racionais Mc's. ",
